State,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014
Alabama,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep
Alaska,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Rep
Arizona,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Arkansas,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep
California,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Colorado,Rep,Rep,Rep,Rep,Rep,Split,Rep,Dem,Dem,Dem,Dem,Split,Dem
Connecticut,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Delaware,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem
Florida,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Georgia,Dem,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Rep,Rep
Hawaii,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Idaho,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Illinois,Dem,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Indiana,Split,Split,Split,Split,Split,Split,Split,Rep,Split,Split,Split,Rep,Rep
Iowa,Dem,Dem,Split,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Split,Split
Kansas,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Kentucky,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Split,Split,Split,Split
Louisiana,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep
Maine,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Dem,Rep,Dem
Maryland,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Massachusetts,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Michigan,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Split,Split,Split,Rep,Rep
Minnesota,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Dem,Dem,Dem,Rep,Dem
Mississippi,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep
Missouri,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Montana,Split,Split,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Rep,Rep
Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem
New Hampshire,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Dem,Dem,Dem,Rep,Split
New Jersey,Dem,Rep,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Dem,Dem,Dem
New Mexico,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
New York,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Split,Dem
North Carolina,Dem,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Rep,Rep
North Dakota,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Ohio,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep,Rep
Oklahoma,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep
Oregon,Dem,Split,Rep,Rep,Rep,Rep,Split,Split,Dem,Dem,Dem,Split,Dem
Pennsylvania,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep,Rep
Rhode Island,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
South Carolina,Dem,Dem,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep
South Dakota,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Tennessee,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep
Texas,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Utah,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Vermont,Split,Split,Split,Split,Dem,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem
Virginia,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Split,Split,Split,Split
Washington,Split,Dem,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem
West Virginia,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Wisconsin,Dem,Dem,Split,Split,Split,Split,Rep,Rep,Split,Dem,Dem,Rep,Rep
Wyoming,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep